date,price
15.09.2017,537.0
14.09.2017,536.0
13.09.2017,538.5
12.09.2017,538.0
11.09.2017,537.0
08.09.2017,541.5
07.09.2017,543.0
06.09.2017,541.5
05.09.2017,540.0
04.09.2017,544.0
01.09.2017,537.0
31.08.2017,539.5
30.08.2017,538.5
29.08.2017,545.5
28.08.2017,537.5
25.08.2017,535.0
24.08.2017,537.0
23.08.2017,536.5
22.08.2017,535.0
21.08.2017,535.0
18.08.2017,537.0
17.08.2017,535.0
16.08.2017,533.5
15.08.2017,536.0
14.08.2017,538.5
11.08.2017,544.0
10.08.2017,542.0
09.08.2017,539.0
08.08.2017,528.0
07.08.2017,533.0
04.08.2017,530.5
03.08.2017,537.0
02.08.2017,543.0
01.08.2017,540.0
31.07.2017,535.0
28.07.2017,532.0
27.07.2017,527.0
26.07.2017,525.5
25.07.2017,529.5
24.07.2017,536.5
21.07.2017,524.0
20.07.2017,521.0
19.07.2017,518.0
18.07.2017,518.0
17.07.2017,519.0
14.07.2017,514.0
13.07.2017,516.0
12.07.2017,517.5
11.07.2017,524.0
10.07.2017,518.0
07.07.2017,517.0
06.07.2017,517.0
05.07.2017,519.5
04.07.2017,513.0
03.07.2017,512.5
30.06.2017,519.0
29.06.2017,520.0
28.06.2017,523.0
27.06.2017,519.0
26.06.2017,519.0
23.06.2017,526.0
22.06.2017,526.0
21.06.2017,525.5
20.06.2017,521.5
19.06.2017,513.0
16.06.2017,510.0
15.06.2017,509.5
14.06.2017,513.5
13.06.2017,506.0
09.06.2017,509.0
08.06.2017,510.5
07.06.2017,518.0
06.06.2017,516.5
05.06.2017,512.0
02.06.2017,511.5
01.06.2017,504.0
31.05.2017,508.5
30.05.2017,507.0
29.05.2017,505.5
26.05.2017,510.0
25.05.2017,503.0
24.05.2017,499.5
23.05.2017,499.0
22.05.2017,504.0
19.05.2017,503.0
18.05.2017,510.5
17.05.2017,504.5
16.05.2017,494.0
15.05.2017,492.0
12.05.2017,497.0
11.05.2017,495.0
10.05.2017,497.0
05.05.2017,505.5
04.05.2017,505.5
03.05.2017,504.5
02.05.2017,506.0
